"Story","Title","Result","Date","Stability","Duration (s)"
"ButtonIconLinkedin","As a user i have to able to navigate to article page","SUCCESS","2023-09-23T00:12:18.3625014+07:00[Asia/Bangkok]","0.0","0.38"
"ButtonIconLinkedin","As a user i have to able to navigate to person page","SUCCESS","2023-09-23T00:12:18.7546634+07:00[Asia/Bangkok]","0.0","0.01"
"ButtonIconLinkedin","As a user i have to able to navigate to learning page","SUCCESS","2023-09-23T00:12:18.7785808+07:00[Asia/Bangkok]","0.0","0.02"
"ButtonIconLinkedin","As a user i have to able to navigate to work page","SUCCESS","2023-09-23T00:12:18.8095732+07:00[Asia/Bangkok]","0.0","0.02"
"ButtonIconSepulsa","As a user i have to able to navigate to credit page","SUCCESS","2023-09-23T00:12:18.8494759+07:00[Asia/Bangkok]","0.0","0.02"
"ButtonIconSepulsa","As a user i have to able to navigate to voucher page","SUCCESS","2023-09-23T00:12:18.8796232+07:00[Asia/Bangkok]","0.0","0.03"
"ButtonIconSepulsa","As a user i have to able to navigate to PLN electricity page","SUCCESS","2023-09-23T00:12:18.9165823+07:00[Asia/Bangkok]","0.0","0.02"
"ButtonIconSepulsa","As a user i have to able to navigate to  data package page","SUCCESS","2023-09-23T00:12:18.9468834+07:00[Asia/Bangkok]","0.0","0.02"
"ButtonIconSepulsa","As a user i have to able to navigate to PDAM page","SUCCESS","2023-09-23T00:12:18.9784103+07:00[Asia/Bangkok]","0.0","0.02"
"ButtonIconSepulsa","As a user i have to able to navigate to  Electronic Money page","SUCCESS","2023-09-23T00:12:19.006761+07:00[Asia/Bangkok]","0.0","0.01"
"ButtonIconSepulsa","As a user i have to able to navigate to other page","SUCCESS","2023-09-23T00:12:19.029509+07:00[Asia/Bangkok]","0.0","0.01"
"Loginlinkedin","As a user I have to be able to successfully log in with a Google account","SUCCESS","2023-09-23T00:12:19.0533111+07:00[Asia/Bangkok]","0.0","0.02"
"Loginlinkedin","As a user I have to be to failed login","SUCCESS","2023-09-23T00:12:19.0852994+07:00[Asia/Bangkok]","0.0","0.02"
